"","pos","id","rodent","centre","tumour","slice_adc","pc_necrosis","total_cellularity","total_cellularity2","total_area","training.set","test.set","condition","group","n.adc","pi.adcgtpw","adc.mean","adc.median","adc.sd","adc.skewness","adc.kurtosis","adc.cutoff.N_BE","adc.cutoff.CT_GA","adc.cutoff.CT_NO","adc.cutoff.CV_GA","adc.cutoff.CV_NO","adc.cutoff.N_NO","adc.cutoffN","adc.cutoffCT","adc.cutoffCV","SHASH.mu","SHASH.sigma","SHASH.nu","SHASH.tau","missing","missing.A","missing.B","missing.C","missing.D","missing.E","missing.reason"
"UMLC002861|KW143_2_861|1",154,"UMLC002861|KW143_2_861|1","UMLC002861","Man","Lovo",11,51.28,11613.804,11308.2381,20.79224,TRUE,FALSE,"Lovo","Untreated",820,0,0.000590418114397169,0.00057545755407773,0.000154463367293827,0.668810207784405,4.28618919335391,-6.70808408385307,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,1e-04,1e-04,1e-04,0.000575814741174377,-8.97051810506905,0.00787937956300174,-0.228194470470989,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMLC004845|KW143_4_845|1",155,"UMLC004845|KW143_4_845|1","UMLC004845","Man","Lovo",9,9.7666,10802.2695,10864.1563,52.75484,TRUE,FALSE,"Lovo","Untreated",1485,0,0.000595552216363155,0.000585793517529964,0.000158478249192618,0.710760601402094,5.3493716970609,-6.60867516157799,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,1e-04,1e-04,1e-04,0.000582956669801174,-9.00967400263134,-0.0545727115616332,-0.252938063567284,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMLC007819|KW143_7_819|1",156,"UMLC007819|KW143_7_819|1","UMLC007819","Man","Lovo",10,17.6323,10779.4906,11034.3324,27.34698,TRUE,FALSE,"Lovo","Untreated",786,0,0.00075279625358031,0.000670741399517283,0.000338757007488936,1.9479818967647,7.74272937462926,-2.5113890336278,-5.05751887999511,-5.05751887999511,-3.89436807018943,-3.77658503453304,-3.62243435470578,0.0267175572519084,0.00636132315521629,0.0229007633587786,0.00067273828556323,-8.92669070650339,-0.119006041569474,-0.684699780784468,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMLC010529|KW143_10_529|1",157,"UMLC010529|KW143_10_529|1","UMLC010529","Man","Lovo",9,11.6866,10757.1604,10932.5422,53.44812,TRUE,FALSE,"Lovo","Untreated",1616,0,0.000561516841287921,0.000553140038391575,0.00013700425728147,0.485074395513702,3.73190999532926,-11.5129154649202,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,1e-04,1e-04,1e-04,0.000551456377614153,-9.03911266943394,0.0074195698453735,-0.177306156229277,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMLC012310|KW138_12_310|1",158,"UMLC012310|KW138_12_310|1","UMLC012310","Man","Lovo",4,12.6625,9451.4069,10088.1009,15.39538,TRUE,FALSE,"Lovo","Untreated",344,0,0.000669230005853954,0.000661252328427508,0.000244432164117601,0.301627332020849,2.92041063399605,-4.73327018861541,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,1e-04,1e-04,1e-04,0.000653108783412372,-8.13741970967642,0.220624297038657,0.0495810646965651,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMLC012768|KW143_12_768|1",159,"UMLC012768|KW143_12_768|1","UMLC012768","Man","Lovo",11,19.9844,11985.5152,12297.1944,20.50748,TRUE,FALSE,"Lovo","Untreated",627,0,0.000638020408357994,0.000577720580622554,0.000234128518311577,2.15583209345244,8.54700139044673,-3.41279651750551,-9.21034037197618,-9.21034037197618,-6.44094654063292,-6.44094654063292,-6.44094654063292,0.00159489633173844,1e-04,0.00159489633173844,0.000576783203109253,-9.15932480893836,0.0576408778066364,-0.642282766538394,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMLC013572|KW143_13_572|1",160,"UMLC013572|KW143_13_572|1","UMLC013572","Man","Lovo",6,25.6229,11239.847,11702.5311,44.91796,TRUE,FALSE,"Lovo","Untreated",1465,0,0.000665089912041497,0.000639226869679987,0.000214958143553976,1.85251224773073,10.3346724190485,-3.9023209196217,-9.21034037197618,-9.21034037197618,-5.49785105222311,-5.49785105222311,-5.49785105222311,0.00409556313993174,1e-04,0.00409556313993174,0.000637345735178247,-9.14997865710493,-0.191413179205386,-0.523416138934982,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMH041884|JOC7_41_884|1",161,"UMH041884|JOC7_41_884|1","UMH041884","ManTx","HCT116",10,54.721,5784.3427,6422.2619,36.6882,FALSE,TRUE,"HCT116Tx","Post-treatment",1401,0.00497159090909091,0.00141038977418091,0.0012547115329653,0.00059940929057621,0.635173328155475,2.34285181570549,-0.135825848698046,-1.98744617430923,-1.94662417978897,-1.32336312669319,-1.30214217121031,-1.23367437193285,0.291220556745182,0.142755174875089,0.271948608137045,0.00123755582072692,-5.34680134869291,2.42945396601802,1.52588331129061,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMH067821|JOC8_67_821|1",162,"UMH067821|JOC8_67_821|1","UMH067821","ManTx","HCT116",7,30.4975,8995.8848,9695.3704,47.85099,FALSE,TRUE,"HCT116Tx","Post-treatment",1077,0,0.000997521670199253,0.000958573655225336,0.000268042418629299,0.746562135092936,3.95927372704579,-2.012274898136,-6.98193467715639,-6.98193467715639,-4.90249313547655,-4.78471009982017,-4.09156291926022,0.0167130919220056,0.000928505106778087,0.00835654596100278,0.000962253891446007,-8.36268958565183,0.103278010843114,-0.225256921989754,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMH068370|JOC7_68_370|1",163,"UMH068370|JOC7_68_370|1","UMH068370","ManTx","HCT116",NA,38.8202,5098.8771,5616.7401,10.31482,FALSE,TRUE,"HCT116Tx","Post-treatment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"A"
